"";"titulo"
"542";"Practice time for 'Reading and wrangling data in the Tidyverse'"
"543";"Visualizing data with ggplot2"
"544";"Data ethics for data scientists"
"545";"Data ethics for data scientists, Part 2"
"546";"R-Ladies Pasadena Meet, Greet, & Learn some Shiny!"
"547";"R-Ladies Pasadena: Good Practices in R "
"548";"R Under The Hood"
"549";"How to write R packages"
"550";"RLadies Pasadena Meetup - Building a Personal Website Using Blogdown"
"551";"R-Ladies Santa Barbara Chapter Kick-Off Meeting"
"552";"""How I use R in my work"" - Demos & Lightning talks"
"553";"Mob Programming: coding in small teams"
"554";"Level up your R skills & build confidence through small examples w/ Jenny Bryan"
"555";"Santa Barbara R-Ladies 2019 Kick-Off Meetup"
"556";"Streamlined workflows in R (tips from usethis, here, and more)"
"557";"Intro to the tidyverse!"
"558";"Basics of building Shiny apps in R"
"559";"Inaugural meetup of R-Ladies Rabat"
"560";"R from Scratch: Introduction and basics"
"561";"Turning data into actionable insights : A predictive Analytics with R"
"562";"R-Ladies et Tidyverse "
"563";"Let's code togetheR !"
"564";"From Data to Viz... and beyond!"
"565";"Let's talk togetheR"
"566";"L'Analyse des données hétérogènes avec R, by Susan Holmes"
"567";"Gold star reproducibility by Saras Windecker"
"568";"Inauguration of R-Ladies Addis Sister Organisation in Hawassa"
"569";"6th Monthly Meeting"
"570";"Inauguration of R-Ladies Addis Sister Organisation in Dilla"
"571";"7th Monthly Meeting"
"572";"Monthly Meeting"
"573";"Monthly R-Laddies Addis Ababa Meeting"
"574";"Monthly R-Ladies Addis Ababa Meeting will be rescheduled to August 29, 2018"
"575";"Monthly R-Ladies Addis Ababa meeting"
"576";"NASA SPACE APPS CHALLENGE Addis Ababa"
"577";"Monthly R-Ladies Addis Ababa Meeting"
"578";"1st Ethiopian National The Carpentries Day"
"579";"Monthly R-Ladies Addis Ababa Meeting"
"580";"Monthly R-Ladies Addis Ababa Meeting"
"581";"Monthly R-Ladies Addis Ababa Meeting"
"582";"Monthly R-Ladies Addis Ababa Meeting"
"583";"Monthly R-Ladies Addis Ababa Meeting"
"584";"Monthly R-Ladies Addis Ababa Meeting"
"585";"Monthly R-Ladies Addis Ababa Meeting"
"586";"Monthly R-Ladies Addis Ababa Meeting"
"587";"First meetup of the R-Ladies Rotterdam"
"588";"2nd Meetup: Interactive data visualization with rBokeh package"
"589";"R-Ladies Drinks **also for ladies who don't know R**"
